,cat_name,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,,freq,3093,3089,2288,2271,2090,1928,1925,1849,1737,1715,1672,1670,1545,1536,1513,1496,1483,1449,1434,1392,1265,1178,1191,1168,1118,1088,1052,1011,986,952,946,922,873,872,870,860,853,799,789,759,755,748,744,741,735,731,722,716,706,683
17,Sales Operations,Word,business,experience,technical,management,degree,google,product,equivalent,sales,practical,cloud,ability,skills,working,work,customer,years,data,teams,marketing,team,strategic,engineering,including,partners,development,related,technology,andor,communication,partner,design,drive,new,develop,relationships,solutions,project,support,crossfunctional,analytical,complex,field,analysis,customers,projects,experienceexperience,science,internal,manage
,,freq,3197,3161,2365,2302,2133,1978,1961,1885,1819,1746,1724,1707,1571,1562,1558,1548,1513,1484,1473,1418,1291,1224,1220,1192,1185,1105,1101,1047,1046,993,952,931,923,899,887,884,878,828,826,798,793,791,759,751,750,748,745,740,734,734
18,Finance,Word,business,experience,technical,management,degree,google,product,equivalent,sales,ability,practical,cloud,skills,work,working,years,customer,teams,data,marketing,team,strategic,engineering,including,partners,development,related,andor,technology,communication,partner,design,drive,new,develop,relationships,solutions,support,project,complex,analytical,crossfunctional,manage,projects,field,customers,experienceexperience,analysis,internal,science
,,freq,3374,3275,2407,2403,2203,2006,1994,1954,1838,1830,1814,1748,1728,1689,1597,1587,1568,1564,1536,1419,1343,1235,1234,1230,1213,1126,1120,1070,1065,1007,962,932,932,907,893,891,885,845,834,815,806,804,766,765,763,758,757,755,750,743
19,Legal & Government Relations,Word,business,experience,management,technical,degree,google,product,equivalent,sales,ability,practical,cloud,skills,work,working,years,teams,customer,data,marketing,team,strategic,engineering,including,partners,related,development,technology,andor,communication,partner,drive,design,new,develop,relationships,solutions,project,support,program,complex,analytical,crossfunctional,projects,analysis,manage,experienceexperience,field,customers,internal
,,freq,3446,3330,2430,2411,2238,2043,2024,1988,1871,1859,1849,1772,1762,1720,1628,1618,1592,1570,1565,1437,1372,1243,1241,1234,1215,1153,1130,1100,1074,1040,962,961,932,922,898,895,891,874,854,834,817,810,805,796,785,774,765,765,761,758
20,Administrative,Word,business,experience,management,technical,degree,google,product,equivalent,sales,ability,practical,skills,cloud,work,working,years,customer,teams,data,marketing,team,strategic,including,strategic,related,design,partners,development,andor,technology,communication,drive,partner,new,project,develop,relationships,solutions,program,field,support,science,complex,analytical,crossfunctional,projects,manage,experienceexperience,analysis,internal
,,freq,3510,3394,2470,2457,2247,2051,2033,1997,1929,1927,1858,1857,1776,1725,1632,1620,1601,1599,1565,1468,1378,1273,1281,1278,1274,1235,1222,1181,1120,1110,1103,975,962,960,914,904,902,897,881,869,861,857,844,833,816,805,799,798,792,763
21,User Experience & Design,Word,business,experience,technical,management,degree,product,google,equivalent,ability,sales,practical,skills,work,cloud,years,working,teams,customer,data,marketing,team,engineering,engineering,related,strategic,design,partners,development,communication,andor,technology,drive,new,partner,relationships,project,solutions,complex,develop,program,support,field,analytical,science,projects,crossfunctional,manage,experienceexperience,analysis,internal
,,freq,3532,3528,2500,2491,2367,2200,2080,2057,1949,1929,1918,1889,1836,1777,1695,1683,1622,1604,1594,1478,1428,1283,1302,1295,1289,1263,1261,1217,1177,1163,1124,1002,993,985,970,942,938,936,936,894,890,879,872,860,852,841,837,828,808,793
22,People Operations,Word,experience,business,management,technical,degree,product,equivalent,google,ability,practical,skills,sales,work,years,cloud,working,teams,data,customer,team,marketing,including,engineering,related,strategic,design,partners,development,communication,andor,technology,drive,new,partner,relationships,project,develop,complex,solutions,support,program,field,analytical,projects,science,manage,crossfunctional,experienceexperience,analysis,internal
,,freq,3692,3653,2596,2532,2457,2210,2143,2114,2060,2002,1990,1942,1937,1789,1784,1723,1678,1670,1642,1526,1488,1336,1306,1302,1298,1274,1266,1236,1190,1166,1126,1006,994,990,980,968,948,944,940,918,894,886,880,868,860,854,846,832,814,806
23,Real Estate & Workplace Services,Word,experience,business,management,technical,degree,product,equivalent,google,ability,practical,skills,work,sales,years,cloud,working,teams,data,customer,team,marketing,including,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,freq,3738,3684,2642,2536,2482,2210,2170,2154,2086,2028,2016,1946,1942,1810,1784,1738,1686,1680,1644,1544,1494,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
